Date,Open,High,Low,Close,Volume
2025-02-13,97870.0,98083.91,95217.36,96608.14,19921.77616
2025-02-14,96608.13,98826.0,96252.82,97500.48,18173.02646
2025-02-15,97500.47,97972.26,97223.58,97569.66,7349.37683
2025-02-16,97569.67,97704.47,96046.18,96118.12,8191.4249
2025-02-17,96118.12,97046.59,95205.0,95780.0,16492.0451
2025-02-18,95780.01,96753.91,93388.09,95671.74,23368.19471
2025-02-19,95671.74,96899.99,95029.99,96644.37,16438.50954
2025-02-20,96644.37,98711.36,96415.09,98305.0,17057.39177
2025-02-21,98305.01,99475.0,94871.95,96181.98,32249.2814
2025-02-22,96181.99,96980.0,95770.49,96551.01,11268.17708
2025-02-23,96551.01,96650.0,95227.94,96258.0,10884.84913
2025-02-24,96258.0,96500.0,91349.26,91552.88,31550.10299
2025-02-25,91552.88,92540.69,86050.99,88680.4,78333.11111
2025-02-26,88680.39,89414.15,82256.01,84250.09,56893.54409
2025-02-27,84250.09,87078.46,82716.49,84708.58,42505.45439
2025-02-28,84708.57,85120.0,78258.52,84349.94,83648.03969
2025-03-01,84349.95,86558.0,83824.78,86064.53,25785.05464
2025-03-02,86064.54,95000.0,85050.6,94270.0,54889.09045
2025-03-03,94269.99,94416.46,85117.11,86220.61,59171.10218
2025-03-04,86221.16,88967.52,81500.0,87281.98,55609.10706
2025-03-05,87281.98,91000.0,86334.53,90606.01,38264.01163
2025-03-06,90606.0,92810.64,87836.0,89931.89,34342.44902
2025-03-07,89931.88,91283.02,84667.03,86801.75,57980.35713
2025-03-08,86801.74,86897.25,85218.47,86222.45,12989.23054
2025-03-09,86222.46,86500.0,80000.0,80734.37,26115.39345
2025-03-10,80734.48,84123.46,77459.91,78595.86,47633.38405
2025-03-11,78595.86,83617.4,76606.0,82932.99,48770.06853
2025-03-12,82932.99,84539.85,80607.65,83680.12,31933.986
2025-03-13,83680.12,84336.33,79939.9,81115.78,27546.27412
2025-03-14,81115.78,85309.71,80818.84,83983.2,26858.52755
2025-03-15,83983.19,84676.28,83618.0,84338.44,11324.7332
2025-03-16,84338.44,85117.04,81981.12,82574.53,17596.12531
2025-03-17,82574.52,84756.83,82456.0,84010.03,17214.74358
2025-03-18,84010.02,84021.74,81134.66,82715.03,17610.89883
2025-03-19,82715.03,87000.0,82547.16,86845.94,28151.05374
2025-03-20,86845.93,87453.67,83655.23,84223.39,22090.30463
2025-03-21,84223.38,84850.33,83175.25,84088.79,11956.97443
2025-03-22,84088.79,84539.17,83625.1,83840.59,5420.22114
2025-03-23,83840.59,86129.64,83809.75,86082.5,8461.97813
2025-03-24,86082.5,88765.43,85519.09,87498.16,30115.62111
2025-03-25,87498.16,88539.63,86310.0,87392.87,22643.25248
2025-03-26,87392.88,88275.0,85860.0,86909.17,18408.78485
2025-03-27,86909.17,87756.39,85800.0,87232.01,17098.03897
2025-03-28,87232.01,87515.67,83585.0,84424.38,27182.73169
2025-03-29,84424.38,84624.73,81644.81,82648.54,11696.39864
2025-03-30,82648.53,83534.64,81565.0,82389.99,9864.49508
2025-03-31,82390.0,83943.08,81278.52,82550.01,20569.13885
2025-04-01,82550.0,85579.46,82432.74,85158.34,20190.39697
2025-04-02,85158.35,88500.0,82320.0,82516.29,39931.457
2025-04-03,82516.28,83998.02,81211.24,83213.09,27337.84135
2025-04-04,83213.09,84720.0,81659.0,83889.87,32915.53976
2025-04-05,83889.87,84266.0,82379.95,83537.99,9360.40468
2025-04-06,83537.99,83817.63,77153.83,78430.0,27942.71436
2025-04-07,78430.0,81243.58,74508.0,79163.24,78387.53089
2025-04-08,79163.24,80867.99,76239.9,76322.42,35317.32063
2025-04-09,76322.42,83588.0,74620.0,82615.22,75488.28772
2025-04-10,82615.22,82753.21,78464.36,79607.3,33284.80718
2025-04-11,79607.3,84300.0,78969.58,83423.84,34435.43797
2025-04-12,83423.83,85905.0,82792.95,85276.9,18470.74437
2025-04-13,85276.91,86100.0,83034.23,83760.0,24680.04181
2025-04-14,83760.0,85799.99,83678.0,84591.58,28659.09348
2025-04-15,84591.58,86496.42,83600.0,83643.99,20910.99528
